Type,Start,End,Duration,Total Energy (kJ),Active Energy (kJ),Max Heart Rate (bpm),Avg Heart Rate (bpm),Distance (km),Avg Speed(km/hr),Step Count (count),Step Cadence (spm),Swimming Stroke Count (count),Swim Stoke Cadence (spm),Flights Climbed (count),Elevation Ascended (m),Elevation Descended (m)
Traditional Strength Training,2023-08-26 10:47,2023-08-26 11:59,01:11:52,3000,2320,148,109.46,,,613,0.142,,,,,
Traditional Strength Training,2023-08-25 12:28,2023-08-25 13:13,00:44:59,2246,1765,159,120.07,,,856,0.317,,,,,
Running,2023-08-24 18:06,2023-08-24 18:26,00:20:07,1613,1074,166,132.91,2.61,7.78,2599,2.15,,,16.0,56.53,
Traditional Strength Training,2023-08-24 07:07,2023-08-24 07:50,00:42:53,2212,1740,158,121.91,,,352,0.137,,,,,
Running,2023-08-23 18:12,2023-08-23 18:40,00:27:35,2052,1700,180,151.24,4.4,9.56,3961,2.39,,,14.0,60.75,
Cycling,2023-08-23 16:40,2023-08-23 17:05,00:24:21,1084,837.74,156,112.81,3.6,8.87,195,0.133,,,9.0,65.47,
Cycling,2023-08-23 07:55,2023-08-23 08:20,00:25:03,1033,724.74,151,109.17,3.81,9.13,371,0.247,,,2.0,49.2,
Walking,2023-08-22 12:03,2023-08-22 12:14,00:11:19,454.28,249.9,109,99.29,0.984,5.22,426,0.627,,,,,
Traditional Strength Training,2023-08-22 07:18,2023-08-22 08:12,00:54:24,2225,1657,146,110.31,,,967,0.296,,,,,
Running,2023-08-21 16:49,2023-08-21 17:05,00:16:10,1153,901.22,172,136.76,2.29,8.51,2247,2.32,,,20.0,61.11,
Cycling,2023-08-21 14:29,2023-08-21 14:58,00:28:44,975.26,759.1,153,112.08,3.69,7.7,218,0.126,,,8.0,,
Traditional Strength Training,2023-08-21 07:14,2023-08-21 08:02,00:48:24,2198,1662,156,117.64,,,1109,0.382,,,,,
Cycling,2023-08-21 07:10,2023-08-21 07:14,00:03:36,173.85,144.28,127,104.78,1.09,18.03,,,,,2.0,,
Running,2023-08-20 10:48,2023-08-20 10:58,00:09:26,569.69,408.02,160,140.26,1.03,6.57,1096,1.94,,,7.0,39.14,
Traditional Strength Training,2023-08-20 09:39,2023-08-20 10:48,01:09:40,3534,2960,155,124.68,,,760,0.182,,,,,
Running,2023-08-20 09:34,2023-08-20 09:39,00:04:30,397.15,359.61,159,150.1,0.903,12.03,678,2.51,,,3.0,14.09,
Running,2023-08-19 11:29,2023-08-19 11:54,00:24:10,1881,1557,145,132.96,4.13,10.25,3592,2.48,,,14.0,64.82,
Traditional Strength Training,2023-08-17 07:16,2023-08-17 08:13,00:57:05,2554,1960,151,113.57,,,1677,0.49,,,,,
Running,2023-08-16 19:04,2023-08-16 19:23,00:19:20,1450,918.65,165,136.51,2.32,7.2,2399,2.07,,,15.0,52.29,
Cycling,2023-08-16 15:01,2023-08-16 15:14,00:13:15,946.82,736.83,170,143.03,3.36,15.2,120,0.151,,,11.0,,
Traditional Strength Training,2023-08-16 07:37,2023-08-16 08:32,00:55:31,2550,1962,162,117.3,,,989,0.297,,,,,
Cycling,2023-08-15 07:56,2023-08-15 08:15,00:18:50,969.54,716.13,146,112.91,4.03,12.84,160,0.142,,,2.0,17.3,
Traditional Strength Training,2023-08-14 17:50,2023-08-14 19:08,01:18:53,3996,3213,162,123.23,,,775,0.164,,,,,
Cycling,2023-08-14 07:58,2023-08-14 08:23,00:24:32,1112,807.16,143,98.29,4.1,10.02,195,0.132,,,2.3891662723122664,13.87,
Traditional Strength Training,2023-08-13 09:55,2023-08-13 11:02,01:07:07,3876,3184,165,130.6,,,2941,0.73,,,,,
Running,2023-08-12 16:50,2023-08-12 17:03,00:13:10,1351,871.95,168,147.8,2.18,9.92,1835,2.32,,,12.0,39.84,
Cycling,2023-08-11 16:35,2023-08-11 16:47,00:11:48,828.88,611.25,157,133.25,2.85,14.48,113,0.159,,,,,
